"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2022","Citywide","1","0","New York City","3,789,000","56.2 (54.6, 57.8)"
"2022","Borough","1","1","Bronx","693,000","65.5 (61.7, 69.0)"
"2022","Borough","2","1","Brooklyn","1,120,000","54.6 (51.8, 57.4)"
"2022","Borough","3","1","Manhattan","661,000","48.4 (44.7, 52.1)"
"2022","Borough","4","1","Queens","1,081,000","57.4 (54.2, 60.6)"
"2022","Borough","5","1","Staten Island","234,000","61.9 (54.9, 68.4)"
"2022","UHF 34","101","3","Kingsbridge - Riverdale","48,000*","70.7* (59.6, 79.8)"
"2022","UHF 34","102","3","Northeast Bronx","114,000","69.3 (58.7, 78.1)"
"2022","UHF 34","103","3","Fordham - Bronx Pk","125,000","66.9 (58.2, 74.6)"
"2022","UHF 34","104","3","Pelham - Throgs Neck","156,000","67.8 (60.0, 74.8)"
"2022","UHF 34","201","3","Greenpoint","48,000*","41.2* (31.3, 51.8)"
"2022","UHF 34","202","3","Downtown - Heights - Slope","97,000","46.7 (39.5, 54.0)"
"2022","UHF 34","203","3","Bedford Stuyvesant - Crown Heights","151,000","56.5 (48.0, 64.6)"
"2022","UHF 34","204","3","East New York","108,000","70.6 (60.5, 79.0)"
"2022","UHF 34","205","3","Sunset Park","42,000*","44.9* (30.8, 59.9)"
"2022","UHF 34","206","3","Borough Park","117,000","52.0 (43.6, 60.3)"
"2022","UHF 34","207","3","East Flatbush - Flatbush","163,000","65.7 (58.0, 72.7)"
"2022","UHF 34","208","3","Canarsie - Flatlands","96,000*","59.7* (47.0, 71.3)"
"2022","UHF 34","209","3","Bensonhurst - Bay Ridge","83,000*","49.3* (38.8, 59.7)"
"2022","UHF 34","210","3","Coney Island - Sheepshead Bay","128,000","54.5 (46.6, 62.3)"
"2022","UHF 34","211","3","Williamsburg - Bushwick","88,000","49.9 (40.9, 58.8)"
"2022","UHF 34","301","3","Washington Heights","134,000*","58.6* (47.3, 69.0)"
"2022","UHF 34","302","3","Central Harlem - Morningside Heights","87,000*","63.1* (50.1, 74.4)"
"2022","UHF 34","303","3","East Harlem","61,000","68.5 (57.9, 77.4)"
"2022","UHF 34","304","3","Upper West Side","91,000*","48.3* (38.1, 58.7)"
"2022","UHF 34","401","3","Long Island City - Astoria","98,000","55.7 (46.9, 64.2)"
"2022","UHF 34","402","3","West Queens","205,000","56.1 (48.0, 64.0)"
"2022","UHF 34","403","3","Flushing - Clearview","100,000*","46.6* (36.2, 57.2)"
"2022","UHF 34","405","3","Ridgewood - Forest Hills","132,000","60.6 (52.2, 68.4)"
"2022","UHF 34","407","3","Southwest Queens","146,000","62.1 (53.7, 69.9)"
"2022","UHF 34","408","3","Jamaica","148,000","58.6 (48.7, 67.9)"
"2022","UHF 34","409","3","Southeast Queens","114,000*","64.4* (52.9, 74.5)"
"2022","UHF 34","410","3","Rockaways","61,000*","65.7* (54.1, 75.7)"
"2022","UHF 34","305307","3","Upper East Side-Gramercy","100,000","33.4 (27.0, 40.4)"
"2022","UHF 34","306308","3","Chelsea-Village","97,000","45.7 (36.7, 55.0)"
"2022","UHF 34","309310","3","Union Square-Lower Manhattan","91,000","43.1 (34.9, 51.8)"
"2022","UHF 34","404406","3","Bayside Little Neck-Fresh Meadows","77,000","50.5 (41.6, 59.4)"
"2022","UHF 34","501502","3","Northern SI","94,000*","61.9* (49.2, 73.2)"
"2022","UHF 34","503504","3","Southern SI","140,000","61.9 (53.9, 69.2)"
"2022","UHF 34","105106107","3","South Bronx","251,000","61.1 (54.7, 67.2)"